r_m,c_m,c1_m,psi_deg,h_m,alpha_totale
0.0416052000,0.0257810000,0.0064452000,14.9836548000,0.0000239000,0.8611805367
0.0462280000,0.0270205000,0.0067551000,13.5123197000,0.0000225000,0.9154901908
0.0508229000,0.0279400000,0.0069850000,12.7710612000,0.0000250000,0.9214609317
0.0549224000,0.0285775000,0.0071444000,12.2778705000,0.0000270000,0.9113343636
0.0589940000,0.0290525000,0.0072631000,11.9205714000,0.0000289000,0.8898157695
0.0630631000,0.0293751000,0.0073438000,11.7077641000,0.0000309000,0.8754090703
0.0671347000,0.0295554000,0.0073889000,11.6042026000,0.0000328000,0.8536233696
0.0712064000,0.0296012000,0.0074003000,11.6090216000,0.0000347000,0.8309160831
0.0752780000,0.0295199000,0.0073800000,11.6822578000,0.0000367000,0.8136780890
0.0793471000,0.0293218000,0.0073304000,11.7887942000,0.0000385000,0.7946105951
0.0834187000,0.0290093000,0.0072523000,11.9027415000,0.0000401000,0.7759730646
0.0874903000,0.0285953000,0.0071488000,12.0087736000,0.0000414000,0.7650740827
0.0915619000,0.0280848000,0.0070212000,12.1125631000,0.0000425000,0.7540291102
0.0956310000,0.0274879000,0.0068720000,12.2288034000,0.0000434000,0.7432180449
0.0997026000,0.0268122000,0.0067031000,12.3448411000,0.0000440000,0.7358572902
0.1037742000,0.0260629000,0.0065157000,12.4689167000,0.0000444000,0.7308409977
0.1078459000,0.0252527000,0.0063132000,12.5957665000,0.0000446000,0.7249122488
0.1119149000,0.0243865000,0.0060966000,12.7230185000,0.0000446000,0.7185156119
0.1159866000,0.0234721000,0.0058680000,12.8603643000,0.0000444000,0.7131131987
0.1200582000,0.0225171000,0.0056293000,13.0053485000,0.0000440000,0.7075467419
0.1241298000,0.0215316000,0.0053829000,13.1687950000,0.0000435000,0.6998363936
0.1281989000,0.0205232000,0.0051308000,13.3337256000,0.0000427000,0.6917724211
0.1322705000,0.0194970000,0.0048743000,13.3593305000,0.0000410000,0.7055924115
0.1363421000,0.0184633000,0.0046158000,13.3006848000,0.0000387000,0.7445232975
0.1404137000,0.0174295000,0.0043574000,13.2350741000,0.0000363000,0.7811023317
0.1444828000,0.0164033000,0.0041008000,13.1960587000,0.0000341000,0.8146328046
0.1485544000,0.0153949000,0.0038487000,13.1585875000,0.0000319000,0.8449483687
0.1526261000,0.0144094000,0.0036024000,13.1418433000,0.0000298000,0.8715272110
0.1566977000,0.0134544000,0.0033636000,13.1430883000,0.0000278000,0.8945110181
0.1607668000,0.0125400000,0.0031350000,13.1558528000,0.0000260000,0.9151929248
0.1648384000,0.0116738000,0.0029185000,13.1741818000,0.0000242000,0.9349428352
0.1687449000,0.0108941000,0.0027235000,13.2150478000,0.0000227000,0.9539127088
0.1698092000,0.0106909000,0.0026727000,13.2127633000,0.0000222000,0.9591250633
0.1707058000,0.0105207000,0.0026302000,13.2331209000,0.0000219000,0.9635319349
0.1716049000,0.0102667000,0.0025667000,13.2305945000,0.0000214000,0.9680225195
0.1725016000,0.0098908000,0.0024727000,13.2537722000,0.0000206000,0.9725011173
0.1734007000,0.0093701000,0.0023425000,13.2671597000,0.0000196000,0.9769917019
0.1742973000,0.0086716000,0.0021679000,13.2810332000,0.0000181000,0.9814670122
0.1751965000,0.0077191000,0.0019298000,13.2960901000,0.0000162000,0.9859381787
0.1760931000,0.0063170000,0.0015792000,13.2980311000,0.0000132000,0.9903964171
0.1769923000,0.0035636000,0.0008909000,13.3069699000,0.0000075000,0.9948675837
0.1778000000,0.0004674000,0.0001168000,13.0478587000,0.0000010000,0.9988837772
