r_m,c_m,c1_m,psi_deg,h_m,alpha_totale
0.0416052,0.025781,0.0064452,14.9836548,2.39e-05,7.367859459218452
0.046228,0.0270205,0.0067551,13.5123197,2.25e-05,7.175236775894191
0.0508229,0.02794,0.006985,12.7710612,2.5e-05,7.15254271196725
0.0549224,0.0285775,0.0071444,12.2778705,2.7e-05,7.129848648040309
0.058994,0.0290525,0.0072631,11.9205714,2.89e-05,7.004373830069305
0.0630631,0.0293751,0.0073438,11.7077641,3.09e-05,6.981679766142364
0.0671347,0.0295554,0.0073889,11.6042026,3.28e-05,6.958985702215424
0.0712064,0.0296012,0.0074003,11.6090216,3.47e-05,6.958316192115663
0.075278,0.0295199,0.00738,11.6822578,3.67e-05,6.935622128188722
0.0793471,0.0293218,0.0073304,11.7887942,3.85e-05,6.9129280642617825
0.0834187,0.0290093,0.0072523,11.9027415,4.01e-05,7.08103811216579
0.0874903,0.0285953,0.0071488,12.0087736,4.14e-05,7.089405182722963
0.0915619,0.0280848,0.0070212,12.1125631,4.25e-05,7.0667111187960225
0.095631,0.0274879,0.006872,12.2288034,4.34e-05,7.044017054869082
0.0997026,0.0268122,0.0067031,12.3448411,4.4e-05,7.476024659938299
0.1037742,0.0260629,0.0065157,12.4689167,4.44e-05,7.45333059601136
0.1078459,0.0252527,0.0063132,12.5957665,4.46e-05,7.430636532084418
0.1119149,0.0243865,0.0060966,12.7230185,4.46e-05,8.036347030369667
0.1159866,0.0234721,0.005868,12.8603643,4.44e-05,8.013652966442727
0.1200582,0.0225171,0.0056293,13.0053485,4.4e-05,7.990958902515786
0.1241298,0.0215316,0.0053829,13.168795,4.35e-05,8.637180635407754
0.1281989,0.0205232,0.0051308,13.3337256,4.27e-05,8.614486571480812
0.1322705,0.019497,0.0048743,13.3593305,4.1e-05,8.591792507553873
0.1363421,0.0184633,0.0046158,13.3006848,3.87e-05,9.145441228647034
0.1404137,0.0174295,0.0043574,13.2350741,3.63e-05,9.122747164720094
0.1444828,0.0164033,0.0041008,13.1960587,3.41e-05,9.100053100793152
0.1485544,0.0153949,0.0038487,13.1585875,3.19e-05,9.077359036866213
0.1526261,0.0144094,0.0036024,13.1418433,2.98e-05,9.471431409276152
0.1566977,0.0134544,0.0033636,13.1430883,2.78e-05,9.448737345349214
0.1607668,0.01254,0.003135,13.1558528,2.6e-05,9.426043281422272
0.1648384,0.0116738,0.0029185,13.1741818,2.42e-05,9.674972397621586
0.1687449,0.0108941,0.0027235,13.2150478,2.27e-05,9.652278333694646
0.1698092,0.0106909,0.0026727,13.2127633,2.22e-05,9.629584269767706
0.1707058,0.0105207,0.0026302,13.2331209,2.19e-05,9.800939764628925
0.1716049,0.0102667,0.0025667,13.2305945,2.14e-05,9.778245700701987
0.1725016,0.0098908,0.0024727,13.2537722,2.06e-05,9.755551636775044
0.1734007,0.0093701,0.0023425,13.2671597,1.96e-05,9.926686251618582
0.1742973,0.0086716,0.0021679,13.2810332,1.81e-05,9.90399218769164
0.1751965,0.0077191,0.0019298,13.2960901,1.62e-05,9.881298123764699
0.1760931,0.006317,0.0015792,13.2980311,1.32e-05,10.105220443601088
0.1769923,0.0035636,0.0008909,13.3069699,7.5e-06,10.08252637967415
0.1778,0.0004674,0.0001168,13.0478587,1e-06,12.324767599346114
